release_id,fiscal_year,indicator_id,observed_cells,suppressed_cells,suppression_percentage,primary_bounded_cells,ambiguous_suppression_cells
No.1,2014,IND_8843607,47,0,0.0,0,0
No.1,2014,IND_8843612,45,2,4.26,0,2
No.1,2014,IND_8843614,47,0,0.0,0,0
No.1,2014,IND_8843615,0,47,100.0,0,47
No.1,2014,IND_8843616,47,0,0.0,0,0
No.1,2014,IND_8843617,47,0,0.0,0,0
No.1,2014,IND_8843826,3,44,93.62,0,44
No.1,2014,IND_8843836,47,0,0.0,0,0
No.1,2014,IND_8843837,44,3,6.38,0,3
No.1,2014,IND_8843838,47,0,0.0,0,0
No.1,2014,IND_8843839,35,12,25.53,0,12
No.1,2014,IND_8843840,0,47,100.0,0,47
No.1,2014,IND_8843841,0,47,100.0,0,47
No.1,2014,IND_8843842,42,5,10.64,0,5
No.1,2014,IND_8843843,47,0,0.0,0,0
No.1,2014,IND_8843844,47,0,0.0,0,0
No.1,2014,IND_8843845,47,0,0.0,0,0
No.1,2014,IND_8843846,33,14,29.79,0,14
No.1,2014,IND_8843859,12,35,74.47,0,35
No.1,2014,IND_8843860,25,22,46.81,0,22
No.1,2014,IND_8843861,4,43,91.49,0,43
No.1,2014,IND_8843875,6,41,87.23,0,41
No.1,2014,IND_8843885,24,23,48.94,0,23
No.1,2014,IND_8843900,0,47,100.0,0,47
No.1,2014,IND_8843901,2,45,95.74,0,45
No.1,2014,IND_8843902,41,6,12.77,0,6
No.1,2014,IND_8843917,7,40,85.11,0,40
No.1,2014,IND_8843937,2,45,95.74,0,45
No.1,2014,IND_8843947,47,0,0.0,0,0
No.1,2014,IND_8843972,2,45,95.74,0,45
No.1,2014,IND_8843977,33,14,29.79,0,14
No.1,2014,IND_8844118,47,0,0.0,0,0
No.1,2014,IND_8844119,35,12,25.53,0,12
No.1,2014,IND_8844171,47,0,0.0,0,0
No.1,2014,IND_8844172,47,0,0.0,0,0
No.1,2014,IND_8844173,47,0,0.0,0,0
No.1,2014,IND_8845690,0,47,100.0,0,47
No.1,2014,IND_8845720,42,5,10.64,0,5
No.1,2014,IND_8845721,47,0,0.0,0,0
No.1,2014,IND_8845780,45,2,4.26,0,2
No.1,2014,IND_8845930,16,31,65.96,0,31
No.1,2014,IND_8845969,9,38,80.85,0,38
No.1,2014,IND_8845970,18,29,61.7,0,29
No.1,2014,IND_8846215,0,47,100.0,0,47
No.1,2014,IND_8848125,0,47,100.0,0,47
No.10,2023,IND_5210011,47,0,0.0,0,0
No.10,2023,IND_5220026,31,16,34.04,0,16
No.10,2023,IND_5220034,24,23,48.94,0,23
No.10,2023,IND_5220035,33,14,29.79,0,14
No.10,2023,IND_5220045,38,9,19.15,0,9
No.10,2023,IND_5220057,28,19,40.43,0,19
No.10,2023,IND_5220058,45,2,4.26,0,2
No.10,2023,IND_5220061,39,8,17.02,0,8
No.10,2023,IND_5220063,47,0,0.0,0,0
No.10,2023,IND_5220064,41,6,12.77,0,6
No.10,2023,IND_5220067,45,2,4.26,0,2
No.10,2023,IND_5220069,45,2,4.26,0,2
No.10,2023,IND_5220070,34,13,27.66,0,13
No.10,2023,IND_5220072,44,3,6.38,0,3
No.10,2023,IND_5220074,34,13,27.66,0,13
No.10,2023,IND_5220075,32,15,31.91,0,15
No.10,2023,IND_5220077,45,2,4.26,0,2
No.10,2023,IND_5220078,32,15,31.91,0,15
No.10,2023,IND_5220082,38,9,19.15,0,9
No.10,2023,IND_5220084,0,47,100.0,0,47
No.10,2023,IND_5220085,31,16,34.04,0,16
No.10,2023,IND_5220089,40,7,14.89,0,7
No.10,2023,IND_5220091,45,2,4.26,0,2
No.10,2023,IND_5220093,31,16,34.04,0,16
No.10,2023,IND_5221012,47,0,0.0,0,0
No.10,2023,IND_5221013,47,0,0.0,0,0
No.10,2023,IND_5221015,43,4,8.51,0,4
No.10,2023,IND_5224011,36,11,23.4,0,11
No.10,2023,IND_5225001,33,14,29.79,0,14
No.10,2023,IND_5225006,47,0,0.0,0,0
No.10,2023,IND_5225012,41,6,12.77,0,6
No.10,2023,IND_5226005,29,18,38.3,0,18
No.10,2023,IND_5227001,47,0,0.0,0,0
No.10,2023,IND_5227005,26,21,44.68,0,21
No.10,2023,IND_5227011,42,5,10.64,0,5
No.10,2023,IND_5229014,44,3,6.38,0,3
