fiscal_year,population_year_or_date,prefecture_code,prefecture_name,population,source_name,source_path_or_url,denominator_definition,notes
2014,2014-10-01,19,山梨県,841224,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,20,長野県,2109418,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,21,岐阜県,2041207,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,22,静岡県,3705352,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,23,愛知県,7455351,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,24,三重県,1825377,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,25,滋賀県,1415515,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,26,京都府,2609693,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,27,大阪府,8835525,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,28,兵庫県,5541074,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
